text,sentiment
When someone accuses me without reason and is not willing to listen to me.,anger
"At a cash desk where I had gone to buy 16 rolls of kitchen paper at a reduced price.  After queuing with screaming children; it turned out that I had taken two 8 roll packets instead of the one 16 roll packet to which the rebate applied.  The assistant said \You will have to get it another time.\""""",anger
 He said he had to get rid of them . They were stolen . ,neutral
 They ’ re really running you into the ground . Why don ’ t you ask for some time off ? You could take a long weekend and go away somewhere . ,anger
"She is furious that he has married beneath him , but appalled when her vicious attack on him threatens to end their relationship for ever . ",anger
The day my teacher of Latin and French died.,sadness
China can not even give you good sound systems for an open lecture.,sadness
 Use the number on the back of your library card . ,neutral
As a child - stepping on a rusty nail - being told that I might get tetanus.,fear
When I left a man in whom I really believed.,sadness
 I feel so tired . ,sadness
 Hmm . I think I should ask some of my friends for advice before I make a decision . I'm sorry . ,sadness
She sounded very disappointed and David knew she was suppressing her exasperation . ,anger
When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.,sadness
 All right ! ,neutral
"After sitting for the Standard 8 Exams for the second time in 1979, I had great joy when I heard that I was successful in the Examination when the results were out.",joy
When the girl with whom I am in love smiles at me.,joy
When I saw that the mark I had obtained in an exam was a good one.,joy
I received a letter and a Christmas present from a person I had not seen for two years.,joy
 Yeah . Li Na's mother has been building a fire under her since her neighbour's daughter got married with a Canadian . She's almost driving Li Na crazy . ,neutral
Sir Jack Brabham says he 's never been so excited about a new motor car and the challenge is to go and take on the best ,joy
" Oh John , I thought we said we would start eating right ! Remember ? Our new healthy lifestyle ? That ’ s all junk food ! ",anger
" Oh , thank God . We all felt frightened by the bad new about him . ",sadness
Waiting for the results of the High level examination.  I was afraid of not being accepted.,fear
My best friend chosen for your English lectures.,joy
 You mean I am groaned a few words ? ,neutral
My grandmother died during Christmas break several years ago.,sadness
"Some classmates said I did not do enough social work. Therefore I was not elected as a \Tree Good\"" student.""",anger
 Yes . ,neutral
"When I am alone at night after having read horror stories, and then I heard unexplainable noises.",fear
" Yes . I have . I liked it very much . Like you , I was very impressed with Rachel ’ s performance in the movie . She ’ s going to be a star . ",joy
" Just get out of my face , would you ? ",anger
"Vincent agreed , too low-spirited to put up any resistance . ",sadness
Quarrel in the family.,anger
My boy-friend told me that he would take me to the training of the life-saving dogs.,joy
 As long as it doesn't take too long . ,neutral
You may find your exasperation turns to inspiration ,anger
She was becoming increasingly despondent about the way things were going . ,sadness
 Yes ? ,neutral
 but I still love you . ,sadness
When I am alone in a room with no contact with anyone - loneliness drains me.,sadness
"But he was dismayed , in the circumstances , to see Gabriel ride off the moor and up the street in the company of a young monk . ",fear
When I was accepted for a course on finance and accounting.,joy
Liz 's anger towards Raquel dates back to a charity dinner this year . ,anger
When I thought the house was on fire at night.,fear
"Going to have a hot chocolate at 10 when I watch american horror story, will help me sleep after. ",fear
" Oh , my God ! What do I do now ? Bone head . ",sadness
"I was in about Grade 7, I came home from school one day and was told that my mother had skin cancer and would have to go to the hospital straight away.",fear
" I'm sorry , sir.The price is fixed . ",sadness
Doing well in an exam.,joy
I felt the above condition when I took my brother's bicycle to a market and unfortunately the bicycle was stolen and I didn't know how I could tell the owner about the stolen bicycle.,fear
 So ? ,neutral
"Teenage neighbours smashed my letterbox for the fifth time in a couple of months. It was a deliberate action of kids who had stayed in my home, had meals there yet took a dislike to my daughter. ",anger
" Don't worry , you'll find a way . ",neutral
 He's Taipei's most famous calligraphy master ! Quick ! Get in line ! ,joy
When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.,fear
 Sure . ,neutral
 I'm in the kitchen ... let yourself in ! ,neutral
I returned home late from a party last night and I felt afraid trying to anticipate the reaction of my father.,fear
 This is unfair . ,anger
 I'd like to come back next weekend . ,joy
"His mother had begun to feel very angry about his refusal to eat as he had started to lose weight , which worried her . ",anger
"IN East Germany two men , formerly regarded as untouchable pillars of the old regime , have , rightly or wrongly , become the focus of over-zealous and sometimes bizarre persecution by the legal authorities and an indignant public . ",anger
For instance when a girl is interested in me and likes me.,joy
I got separated form my closest friend. He went to work abroad.,sadness
When my husband stays late at a meeting and I have to be alone.,anger
It was in the evening when I heard that my girl went to Zambia and that she would never come back.,sadness
He followed me all the way home ! ,fear
"Oh , no . It seems that I've lost my train ticket . ",sadness
 How so ? ,neutral
When my mother met with a serious accident and there was danger that she would not survive and if she did she would loose her memory.,fear
 Who cares ? ,neutral
 When are getting married ? ,joy
When someone ignores what I am saying or doesn't let me have my point of view and they monopolise a conversation.,anger
I feel it when I see that somebody is traying to made a stupid of me.,anger
I was crossing the street together with some colleagues of mine when I suddenly found myself almost under the wheels of a truck.,fear
 sure . ,neutral
When I received the news that my beloved grandmother had died.  I was at the boarding school and was only 13 years old.,sadness
When I met an old schhol friend (school love) who works in Skydide.,joy
 From China . ,neutral
"hi , Emily , do you know that guy over there ? ",neutral
 Thank God ! ,joy
"One day when I was a little boy, my friends asked me to play with them outside and to catch some boys.  However our parents did not know that we were out and when I got home it was very late and I feared being scolded by my parents.",fear
When my father died.,sadness
"When I had to undergo the final examination of secondary school, I lived together with a girlfriend. We both were afraid to fail, but it appeard that we both had passed.",joy
 I sure do . ,neutral
 I know ... ,neutral
 It seems to me like I may have caught a bug . ,sadness
While watching an entertainment program in which there was a clever  and amusing sketch.,joy
When I saw the pictures of the draught in ethiopia.,sadness
When I went to my first dental appointment.,fear
When I heard that someone who is very close to me did very well in the exams despite having fooled around a lot.,joy
Always when I am well succeded.,joy
"When I was 8 years old my tonsils had to be operated on. This is not a complicated operation, but just before it started I was very afraid so that I will never forget it.",fear
One night I was lying in my bed awake but I had my eyes closed. I saw figures with terrible faces and black frocks bending over me and touching me. I opened my eyes but I could still see them. I had the feeling that somebody was in the room. It was terrible. Only when I turned on the light I was able to go to sleep.,fear
 here we go . ,neutral
 That ’ s a good idea . Do you know anyone who has done that before ? ,joy
A father helping his kid to fight other kids.,anger
When the result of the certificate exam was announced.  I was surprised and happy as the result was better than I had expected.,joy
I met intoxicated people with dubious intentions in a back alley one Wednesday night.,fear
" We can cover ourselves with beer ! That way if they bite us , they ’ ll get drunk and fall asleep . ",neutral
"How mad we 've been , Lyn . ",anger
 My opponent bowled me with the very first ball . I was wondering if it's appropriate for me to play table tennis . ,sadness
My friend was badly hurt.,sadness
" Something awful happened . We went to the Portobello Road , and someone stole my handbag . ",sadness
When my girl told me that she loved me more than any male creature on earth and that I would be the only one in her heart for all her life.  ,joy
It was in 1983 September when MCE results were being announced on the radio. When I heard my name that I had done well I just kept quiet. I was so happy that I couldn't even talk.,joy
" Oh , how interesting . And what about Larry and Rocky ? ",joy
As the week went on I got more and more anguished telegrams from home telling me to conclude the deal and come home . ,sadness
" unfortunately , he wasn't able to evacuate in time . He ended up dying in the tower . ",sadness
"His eyes narrowed , and she felt a flicker of annoyance , this time aimed at herself . ",anger
When my grandfather died.,sadness
"When I left my sister's house after staying there for a few days. She has two little boys, and they are very warm people (the family). At the time, I was in need of this sort of contact, and I grew very fond of children (no, I'm not a paedophiliac).",sadness
The day my parents were involved in a car accident and had to be operated  and before the operation the doctor said that it was mater of life or death.,fear
Watching China winning the Asian Olympic games.,joy
 I ’ m sure this one is especially bad . And the word is so unpleasant . ,anger
How nervous the teacher feels about using this teaching unit . ,fear
"The Denning family feel sad that , although Sharpness is still thriving , it 'll never be the busy port it once was . ",sadness
" Oh , I ’ m sorry to hear that . I think you ’ d better talk to the police officer walking there . ",sadness
Staying in a relative's house which was broken in before.,fear
"I was concerned when Jeremy didn't return on the evening of Sunday , October 21 -- he had left his camping gear behind in the hut . ",fear
 I am awfully sorry . I didn't think you would mind so much . ,sadness
When my son was born.,joy
 Like what ? ,neutral
"Annabel said in an agitated voice , ` I feel as if my mind is whirling madly , like a hurricane . ",fear
"Hi , Daisy ! ",neutral
"When I come home in the evening, the first thing I do is to sit down and smoke a cigarette. One day I found the flat in a totally desolate state. My girl-friend had wanted to tidy up but had not finished.",anger
" Oh , thank you.You are so sweet ! ",joy
During the short period of my unemployment about six years back.,anger
"To Meryl 's vexation , the boundary wall proved to be nearly eight feet high . ",anger
"I was in Hamburg in December and I was angry about the politicians and the police.""",anger
 But it was her that makes us so embarrassed . ,anger
" Okay . BBS , an online service , offers a wide variety of online games , files , one-on-one chat , message areas , private mail , and participate forums . ",joy
" Thank you , I will . Hope to see you again next year . ",joy
The court expressed dismay that Wiltshire Social Services had called in a voluntary agency to help look after him . ,fear
 I'm afraid I've got a terrible cold . What should I do ? ,sadness
I realized that a fellow member had grown spiritually.  I was the leader of a spiritual group and had prayed for him.  He did not want to burn the incense but his mother forced him to do it.  Finally his mother told him that he could discontinue if he got good results at school.,joy
In a situation whereby a friend's actions were deliberately against my wishes and (with) no regard to my feelings.,anger
"He turned a livid , stubbled face to the crowd . ",anger
" Yes , but I'm not feeling very better now . Actually I'm feeling even worse . ",sadness
 How was it ? ,neutral
I was scared stiff of giving my first performance . ,fear
"I felt joy most strongly some years ago, when I took part in a NH Competition and I was the first.",joy
When I had to leave my mother and my sister after a week's visit.,sadness
" Oh , I see . ",neutral
"A friend came to visit me late one night. He promised to stay only a quarter of an hour, but he stayed 5 hours !! He didn't leave and I was very angry.",anger
"People were very angry when Admiral failed to attack the French at Minorca , and the decision to execute him for cowardice was exactly what the public wanted . ",anger
 That sounds like a good idea . I'll have to try that . ,joy
 Speaking . ,neutral
"The saddest I've ever been was when my lover was killed, hitch-hiking to work.",sadness
 Yes . ,neutral
My girlfriend mentioned a certain girl's name who was my girl some time back and she is no longer mine that she said she was still mine.,anger
At boarding school someone put a lot of tiny thorns on my bed.  When I complained everybody began teasing me and laughing at my inability to find out my enemies.  I lost my temper.,anger
 1564 . ,neutral
" Oh , yes . ",neutral
Both of them were aware of Alain 's black anger and Marguerite was feeling the sorrow of leaving her own house . ,sadness
"if you're getting your information from a website not run by te 1 of 6 approved corporations, you probably the wrong people.",fear
 I don't think the exam will be very hard . ,neutral
 $ 800 . ,neutral
" Yeah , and the prices there are very high . ",neutral
"@katharinemcphee This seems to be a serious conversation! He seems to be making a proposal. Lol :-) Thank you, Kat! I love you! XoXo.",fear
When the whole family gets together for a one week holiday.  Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.,joy
The media excitement about Enid Blyton and Captain W. E. Johns soon died away . ,joy
Hello ! ,neutral
"To express their grief over the Warrington atrocity , the people of Dublin sent thousands of floral tributes to Liverpool this morning with the Irish Air Corps . ",sadness
I was very angry when I heard that my brother was beaten by his friends. ,anger
The hero was chased by a terrible vampire in a suspense and horror film shown on T.V.,fear
 I knew this would happen some day ... ,sadness
"The waitress returns , now indignant with her boss for his bought-and-paid-for apathy . ",anger
 I can't open the door . ,neutral
When I was accepted to study at this school I was very happy.,joy
When I was an exploration with my friends and almost got lost in an unfamiliar environment.  It was getting dark and we did not know how to get back home.,fear
` You can imagine our horror at finding a false ceiling in a secure establishment and ducts like this . ,fear
"Oh , man . I had the best supper last night . My wife made a stir-fry and it was amazing ! ",joy
" Sorry , we can ’ t come down any more . ",sadness
"Charlotte made to reply , but suddenly felt exasperated and wearied by the hoops she had been obliged to jump through . ",anger
"Barely registering Gwen 's horrified face , she turned and whirled out , crashing the back door against the wall so hard that the echoes seemed to follow her fleeing figure . ",fear
Guess what ? ,neutral
"Motorcycle accident with two people involved, running off the road. Broke an arm, only.",fear
"When I finally managed to get a specific sound from my guitar, after baving tried for a long time.",joy
Having my luggage checked at Customs.,fear
I was angry when I heard that my only girl was going about with another man. So I decided to drop her but later the story came to be untrue.,anger
"Got a package from my parents, without even a small note enclosed.",sadness
" I had to move it , so that I can get my bike through . ",sadness
"Walking home at night after university - part of the way, there are ano lights and I am walking down a thoroughfare with the thouth of no one hearing me if I have to scream.",fear
Suddenly met someone in the biology building at night.,fear
 Wow ! Why so much ? I thought they were getting you an assistant . ,anger
When I felt that my love was returned.,joy
I had cared for a horse for 2 years. One day it was sold and I cried for several days because I was so sad.,sadness
"I was walking with another person when a \gang\"" separted us and pushed me in to a house, hit me in the stomach and the face, then they left - leaving me bleeding.""",fear
"I had been searching for housing for Fall at UCB and I was finally offered a place - then an ordeal followed, first I accepted then refused - related to my parents judgment (they're paying for me). Turns out that I was so upset at what my Dad said to me that I hung up on him. He called back and threatened to cut me off financially and emotionally.",anger
When my brother came back home after staying in hospital. He had undergone an operation which had been a matter of life or death. When he came home I could see him smile for the first time after may weeks.,joy
Is it a lack of  or a of #loneliness that make people put up with bullshit,fear
"You then left that meeting , rather hurriedly , before it ended , in a very anxious state . ",fear
 Hi . ,neutral
"Julia 's questions about the line the defence lawyers were taking were as acute as anything she had ever asked David , and they filled him with relieved delight . ",joy
I passed an exam which I was not sure at all to pass.  I rejoyced at the result because the possibility of continuing my studies depended on it.,joy
"Motorcyclist accident where for some minutes I didn't know if I was alive or dead, I remained cold levered during the situation but felt great fear.",fear
" I see what you mean , but I ’ m still bummed out . ",sadness
Prosecutors were clearly miffed that several businessman changed the statements they had given during investigation of the case .,anger
"To the dismay of the South Africans , umpire Cumberbatch merely signalled a leg-side wide . ",fear
"When my boyfriend openly let me down, preferring another girl.",sadness
 Dumplings . ,neutral
One of my friends went and told another friend of mine that I was going abut with another guy in London besides the one I had. She said I was seen with him hand in hand.,anger
 Coming as ? ,neutral
On the way home from Chester. Zack drives like something off need for speed :( ,fear
 Let's go and try now ! ,joy
 I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . ,neutral
 Yes . ,neutral
"When my grandmother died, her life was heavy and her last hours were terrible.",sadness
 Yes ? ,neutral
"There was a cool mockery in his deep voice , and she turned to glare at him , hating him for the fact that he seemed to be deriving amusement from her discomfort . ",joy
Her own intense excitement had given way to a hollow feeling in her stomach and she had been quite unable to eat for several days . ,joy
When I found out that the guy I was dating at a particular time had a steady relationship going on with someone else for a long time.,anger
One of my best friends was hurt by a girl he loves.,sadness
"When I saw in the newspapers, on the T.V, and magazines the chaotic situation caused by the drought and hunger in Mauritania.",sadness
I was sad when my MCE grades were out. I had gone for a football match a mile away from home. The mail found me there. I was disappointed and didn't play the other half of the match.,sadness
"In the recent lightning storm, bolts of lightning were hitting close by (1/8 mile). I was in bed at the time and was afraid I might be struck.",fear
 What ? You call that a stir fry ? More meat than vegetables ? That ’ s the worst insult you could throw at a Chinese stir fry . What a disgrace to the wok she fried it in ! What you had is equivalent to a fajita without the wrap ! ,anger
Fear from the unknown. I felt fear when I sat for the entrance examinations.,fear
 Certainly . ,neutral
 What is it ? ,neutral
"When my father talks about our relatives and favours them, I feel angry.",anger
On holidays - just driving along a road beautiful scenery. Just with my boyfriend - not really talking but just feeling overwhelmed.,joy
 Yes . ,neutral
 Hmm . I think I should ask some of my friends for advice before I make a decision . I'm sorry . ,sadness
Finding out that my best friend could not go to university.,sadness
Unknown person knocking repeatedly on backdoor when no one else was at home.,fear
I lost all my lottery winnings playing the stock market . ,sadness
"The last day of school is traditionally celebrated by singing a song about all the students who are leaving.  In the song about me, there were things which irritated me a lot.",anger
I just discovered that I owe $ 10 for a movie that I never ordered . ,anger
She looked utterly desolate and all of her thirty-eight years ; her cheeks seemed to sag and her jaw-line looked heavy . ,sadness
"Realizing that school will soon be over, and we will all go different ways, perhaps never meeting again our friends from this year.",sadness
Hello . ,neutral
" Yes , I enjoyed it very much . ",joy
 All right . ,neutral
 I will . ,neutral
When I first sat for an entrance examination.,fear
A very close friend of mine died. I read it in the newspaper. I didn't know what to do and thought about it the whole day.,sadness
"His excitement at the prospect of exploiting that potential is palpable , though he has no illusions about current difficulties . ",joy
 I have no idea . I like cooking by myself . I like to taste delicious food . ,neutral
 Sounds good . When and where shall we meet ? ,joy
 Not really . ,neutral
When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,fear
 Don't worry . I'm not much of a dancer myself . ,joy
" Yeah , yeah , I know what I selected . Just give me my money ! ",anger
" Yes , I do . ",neutral
I asked someone to bring some present to my father and found out that he is not a reliable person. I was afraid if my father would not get the presents he would be angry with me.,fear
When I passed the driving test three weeks ago and got my licence.,joy
Could you please stop flipping the channels ? ,anger
"And it was equally insistent that a policy of retreat would cause dismay in Washington , thereby diminishing Britain 's ability to exert influence over American policy . ",fear
" It'll be close , but we'll make it . ",neutral
"There was public disquiet , questions in the Commons and an enquiry ordered into Jeffrey 's whereabouts . ",fear
 OK . Where ? ,joy
"I was going home by car late one night when it was cold, dark and windy.  I became rather panicky on the way to my house.",fear
The people of America and throughout the world were stunned and grief-stricken by the President 's assassination . ,sadness
"we can't stop here, this is DRONE country!!! ",fear
 Good idea . ,neutral
"She was already feeling a bit better and she felt quite amused at this cool domination , especially as she was not going to pay any attention to it . ",joy
"At their graves their families would unite with their beloved over a memorial meal and a drink , easing their grief in recreating the family intimacy , only transiently ruptured . ",sadness
"I am pleased that there has been a threefold increase in , for example , HRT prescriptions during the past 10 years . ",joy
" I ’ m sorry to hear that.You ’ d better stay at home.After all , we can visit Mrs.Brown later ",sadness
"Hello , Pam . ",neutral
 I have been looking forward to this performance all month . ,anger
 B :: I'm such a fool that duplication of effort is only a waste time to me . ,sadness
I'm so afraid of viruses now. why did he have to watch this video?! ,fear
 You think ? ,neutral
"I am filled with gloom and sadness at the death of a person.  More specifically, I felt sad after hearing the news of a death of a person who was hale and hearty and full of life, with vigour and plans for the next day but had no next day to cherish it.",sadness
"` You know Joanna will be overjoyed to see you in any condition . "" ",joy
 That ’ s too bad . I hate sand storms too . It can be worse than any kind of bad weather . ,sadness
Then she must sit in the sun before hauling it back up and altogether I was enraged and wished I was in a condition to show her how it should be done . ,anger
"My grandmother several times has been struck by cerebral hemorrhages. Until now she recovered well each time, but there is always the threat to loose her.",fear
"I thought that I was going to fail a subject and so I began to study for the final exam, then my friend told me that I had passed it.  That meant that I could go home, as I do not study in my hometown.",joy
" Great , Is it convenient if i visit you this weekend ? ",neutral
 Look ! there's a Folk concert tomorrow evening . Do you Want to go ? ,neutral
In a dark street at 4 o'clock in the night and there was complete silence.,fear
"I was living in a flat where things did not go very well for me.  Finally, they threw me out and this prejudiced people I esteem a lot.",anger
 Why ? ,neutral
I sit disconsolate in the snow . ,sadness
"Mr McWhinney ( 55 ) , of Drumhark Road , Comber , died instantly when his single engined Pulsar plunged to the ground in front of horrified spectators . ",fear
 You ! ,anger
 Don't bother . ,anger
 It's not just for your drinking . But you are lacking sense of responsibility . ,anger
"I had a very good friend in secondary school.  The year after our graduation I prepared to celebrate her birthday and I called off all my appointments.  I got together the other friends and we were ready to give the entire day to her.  However this friend disappeared on her birthday.  When I phoned another friend I discovered thay she was busy, I did not call her anymore.",anger
"When I was feeding a premature baby (7 months), the baby chocked. This was when I was working in children's ward I thought I had killed the baby.",fear
"However , in this case , the crowd was angry that extra time was not going to be played and vented their fury on the pitch and the police rather than on one another . ",anger
" Oh , I've been fine , but I'm having some trouble with my son . ",sadness
"Perversely , she was cross with him for having survived when she had spent the weekend fretting . ",anger
Being treated unfairly.,anger
 Yeah . ,neutral
"Disquiet at the new direction of religious affairs soon surfaced in parliament , and over the next few years a growing number of MPs began to speak out against the Arminian threat . ",fear
"I was walking home one night (after getting a bus to my town) when I was confronted by a group of males (about 6), they would not let me pass - they made comments etc. - I crossed the road and hurried home.",fear
When I received my S.Y.J.C results which did not allow me to get   admission in engineering.,sadness
"Sometimes , amid great excitement , his mother was in , with guests who drank wine and laughed loudly and spoiled him and Pam . ",joy
That's really the only problem. Ppl think they should naturally only love and be fulfilled by 1 person. When it doesn't happen?  ,fear
 OK . ,joy
" Well , I had a terrible day of work , I'm thinking of quiting my job . ",sadness
When I was ten I got shut in the school with a friend.  I had to jump out of a window and cross a beam 10 metres high.,fear
 May and Danny have already grown up . ,joy
This last August when my parents dropped me off and moved me into college I didn't know anybody here; I was 17 and Berkeley really scared me.,fear
Do you have a light ? ,neutral
 From Zhongshan Circus to City Bank . ,neutral
"When I heard that a good friend, who had been abroad for a long time, would come and see me.",joy
"In the student kitchen that we share, somebody drank from my juice pot (one litre) so that I only got one glass out of the whole pot.",anger
 You think so ? Let ’ s take a chance ! ,anger
" Hey , come on . It ’ s too early to say that . We can fix things . ",sadness
"This sucks . I hate buying lingerie . Okay , just find something and get out of here . Alright , these are fine . Oh , no , don ’ t come over here , don ’ t come over here . ",fear
Someone frightened me in the dark.,fear
When I realized that I did not have the basic things needed by a student like me.,sadness
Being misunderstood by friends.,sadness
" he didn't say , but he said he would call me . ",neutral
" What's so terrible too , is the fools we've made of ourselves . ",sadness
I wish the teacher wouldn't make us read this book . ,sadness
" It's really frustrating , isn't it ? I have the same problem . I would feel a lot better if the currency was a little more stable . With the way the dollar plummeting lately , my securities have gone up in smoke . ",anger
I had just seen my girlfriend and our conversation angered me greatly.,anger
"Recent break-up of seriors long-term relationship, helped along by would-be  in-laws.",sadness
"When I was selected for higher education, i.e grade 7 to formI.",joy
 Do you have any hobbies like playing tennis or things like that ? ,neutral
 Why ? ,neutral
When my boyfriend once again told me that he loved me after a period in which he felt very depressive.,joy
"With the job appointments committee when the headmaster in charge explained that a male teacher was more suitable for the particular post.  I had more years of service than the male teacher, but this was not taken into consideration.  I could have been given a less attractive job if things had gone the way the headmaster wanted.",anger
Canoeing across harbour in winds - 20 knots and rising seas.,fear
Being chased in the dark by someone I did not know.,fear
"Going away for the weekend, leaving my College room open - when I returned several friends had had a party there, leaving the mess.",anger
There was an earthquake for several minutes and I was on the eight floor.,fear
When my cousin passed away unexpectedly and tragically (a murder).,sadness
I went to visit friends and it was very companionable.,joy
I was neglected undeservedly.,anger
 Congratulations ! That ’ s wonderful . I bet both of you are quite happy . ,joy
" Time to order . Balista , today I want a skinny triple latte . ",neutral
" Don ’ t apologize ! From the moment I met you , not a day has gone by when I haven ’ t thought of you.And now that I ’ m with you again , I ’ m ... I ’ m just scared , Veronica . The closer I get to you , the worse it gets . The thought of not being with you , I mean , I just can ’ t handle it ! We were made for each other , Veronica . You are my everything , my soul mate . What can I do ? ",neutral
Discussion with my mother about the way to educate my children. I felt anger against my mother.,anger
 You failed . ,neutral
 Why not ? ,neutral
"My mother, my sister and I were sitting in the sitting room and watching a film on TV. My father came home drunk and told us to turn off. When we did not do that he switched off the fuse and started shouting. We were sitting in the dark and I was afraid that he would do us a harm.",fear
A terrible fight that I provoked with my friend.,fear
"When I saw the certificate results, I did not feel very happy as I did not realize that I had got all the credits until my classmates pointed it out to me.  My parents and my relatives praised me and I realized that my results were good i.e 2A, 5B, 2C.  I felt satisfied with the results and was happy.",joy
When my first child was born.,joy
Don't worry . I'm sure you'll do better next time . ,joy
Why does ppl say they're  when they know they aint . r u trying to trick ur mind. is the biggest thing right now. Check it..,fear
" I wouldn ’ t exactly characterize it in that way . I think something happened . Something terrible and unexpected that made it impossible for him to ... what if he showed up , took one look at me and left ? ",sadness
When I was going to take the practical exams.,fear
"Edwin , I would be utterly desolate were it not for my faithful companion here . ",sadness
 Yeah ! I am here with my friend and he thinks it may be the spark plug or the starter motor . ,anger
"My two guitars, after a lot of years together,had decided to fell the night I was seeing Paranormal Activity #scaredtodeath",fear
"The lugubrious publican had seen it as his job to repel strangers and had employed to that end an impressive armoury of taciturnity , malevolent glances , warm beer and poor service . ",sadness
I feel sad when I see things done against men and nothing could stop it - at least I think so.,sadness
O'Neal seemed miffed by the whole affair .,anger
" No , a lot of women stay home and take care of their families . But some work . ",neutral
 Oh . I just can ’ t forget it . ,sadness
I lost my purse that had money in it. I was sad until I found it.,sadness
"He was , naturally , sometimes nervous in the face of my beauty ; and at other times needlessly pleased with himself . ",fear
Being insulted in public for the wrong reason.,anger
"The day the results of the Chinese university was announced I should have been very happy; however my grandmother, because of  her prejudice and misunderstanding, started a  quarrel with my mother.  She expected me to take her side and she deliberately talked of my mother's wrong doings.  I was very angry because - one my grandmother was not being reasonable and two because it should have been a happy day and three we had moved into a new house that day.",anger
"When I was accused of bitching about best friend.""",anger
"At the hostel they were furious with us for bringing the police , they just wanted us out , literally , and we were out ! ",anger
" No , what ? ",neutral
Mom ! ? ? ? ,neutral
` I felt less nervous in the play-off against Faldo than I have here . ,fear
We're ALL afraid of something here .. bc u ain't human w/o ,fear
 OK . I'll see you then . ,joy
When I was admitted to the University.,joy
 Do I have to focus it ? ,neutral
Hot5's competing at the Petersen Event Center tomorrow!! Come out and support them!!  this,fear
" Well , I am wondering if we took a hang-out for a drink or something . You know , I just came back from a really tough interview . I was quite nervous during the interview . I really want to have the job . Right now , I am still a little on the edge . I am not sure if I could convince them during the interview . ",fear
"Hi , it is a pleasant surprise ! ",joy
 Why ? ,neutral
In March they were received as World Champions by an ecstatic crowd after winning the Cricket World Cup for the first time . ,joy
" Come on . Dating is a part of young people's social life . Besides , you're sixteen already . ",joy
 I promise . ,neutral
 Certainly not . ,sadness
"I 'm so frightened the feeling will go away , it 's too fragile , and I do so want it not to break . ",fear
Doing a group assignment and being left to do all the work and take the blame for any mistakes.,anger
"For all those years you've protected the seed, it's time to become the beautiful flower.~S.C. Paul   ",fear
 Why ? ,neutral
The mother of a person with whom we had been sharing a housing accused me of trying to rip her off over payment of bills in the house. ,anger
"When playing a football match, there was one player who made mean tackels, kicked at everything and did things having nothing to do with football.",anger
 What's up ? ,neutral
 Where are we going to have a drink ? ,neutral
Why didn't you tell me you had a girlfriend ? ,anger
 Yeah it's too bad ... but actually I think I know what to do . ,sadness
When a close relative is treated badly.,anger
Recently I happened to remain alone for a long time.,sadness
When my brother did not send me the transport money to resume my studies in time at university.,anger
Jane Moss said yesterday that the double heartbreak of her daughter 's death and the murder of her own mum 11 years ago made her want to care for the needy . ,sadness
When I quarrelled with my boyfriend.,sadness
" Scraping is too terrifying . When they finish scrapping , your body is all red , as if you were just tortured . Cupping is the same , your body ends up with red circles all over . It looks like someone beat you up . ",fear
"A terrible , furious , impotent anger filled him , making him want to strike out , to shout and scream . ",anger
The idea of their having a say in the running of a club appears to make officials recoil with horror . ,fear
" We have been together for a year and usually , people who've been together a year , take their vacation together . ",anger
"I was given a dummy in which to do my preliminary sketches , but the dummy was designed so beautifully by Amelia Edwards that I was really happy with my work . ",joy
"When I had a psychical crisis, I met a girl, who told me that she had had almost the same problems and how she had finally overcome them.",joy
"Mrs.Smith , time has stood still with you ! ",joy
" Oh , that's too bad . ",sadness
 Thanks . ,neutral
 Good luck . I'm sure you will do a good job . ,joy
After mischieviously ringing on the chemist's trade-entrance doorbell and getting caught by him.,fear
"Li Shai Tung looked across at him , smiling ; but behind the smile -- beyond it , in some darker , less accessible place -- lay a deep disquiet . ",fear
Eyewitnesses told of the horror as shrapnel rained down on shoppers from two devices placed in cast-litter bins less than ten yards apart . ,fear
"I ’ m so excited , mother . Oh , a new baby ! ",joy
"When I finished my exams after 12th Grade, I was worried about getting a T.E. Score high enough for Physiotherapy. When I found that I had been accepted I was ecstatic, or more appropriately, could jump for joy.",joy
How was your education going on in Australia ? ,neutral
When a friend of me came for an unexpected visit.,joy
 I 'm delighted about that . ,joy
"When on holiday in Greece I called my best friend, she told me she passed the examinations and that she had been admitted to the study for speech therapy.",joy
" Yes , but I think it's probably for the best . ",neutral
"During the following months the School managed to carry on , but the atmosphere must have been one of great despondency . ",sadness
 Bye-bye ! ,neutral
 Are you serious ? Gambling is a vice industry built on deception and fed by the intentional exploitation of human weakness for the sole purpose of monetary gain ! It disgusts me . ,fear
"When I applied for a job which I thought I had a good chance of getting, I was not even granted an interview and did not get the job.",sadness
"The Lord taketh pleasure in them that fear him, in those that hope in his mercy.& 147:11 (KJV)  #hope #mercy",fear
 Who ? ,neutral
Melissa stared at her friend in dismay . ,fear
@FLYboi_ROB is that how the kids visiting Penn State felt? -- Damn near piss my pants kicking it wit @KyletheYeti and @fattymattychady,fear
